letra,letra_desc
A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
A," AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA"
B,EXPLOTACION DE MINAS Y CANTERAS
B,EXPLOTACION DE MINAS Y CANTERAS
B,EXPLOTACION DE MINAS Y CANTERAS
B,EXPLOTACION DE MINAS Y CANTERAS
B,EXPLOTACION DE MINAS Y CANTERAS
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
C, INDUSTRIA MANUFACTURERA
D," SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO"
E, SUMINISTRO DE AGUA
E, SUMINISTRO DE AGUA
E, SUMINISTRO DE AGUA
E, SUMINISTRO DE AGUA
F, CONSTRUCCIÓN
F, CONSTRUCCIÓN
F, CONSTRUCCIÓN
G, COMERCIO AL POR MAYOR Y AL POR MENOR
G, COMERCIO AL POR MAYOR Y AL POR MENOR
G, COMERCIO AL POR MAYOR Y AL POR MENOR
H, SERVICIO DE TRANSPORTE Y ALMACENAMIENTO 
H, SERVICIO DE TRANSPORTE Y ALMACENAMIENTO 
H, SERVICIO DE TRANSPORTE Y ALMACENAMIENTO 
H, SERVICIO DE TRANSPORTE Y ALMACENAMIENTO 
H, SERVICIO DE TRANSPORTE Y ALMACENAMIENTO 
I, SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
I, SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA
J, INFORMACIÓN Y COMUNICACIONES
J, INFORMACIÓN Y COMUNICACIONES
J, INFORMACIÓN Y COMUNICACIONES
J, INFORMACIÓN Y COMUNICACIONES
J, INFORMACIÓN Y COMUNICACIONES
J, INFORMACIÓN Y COMUNICACIONES
K, INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS 
K, INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS 
K, INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS 
L, SERVICIOS INMOBILIARIOS
M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS"
M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS"
M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS"
M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS"
M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS"
M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS"
M," SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS"
N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
N, ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO
O," ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA"
P, ENSEÑANZA
Q, SALUD HUMANA Y SERVICIOS SOCIALES
Q, SALUD HUMANA Y SERVICIOS SOCIALES
Q, SALUD HUMANA Y SERVICIOS SOCIALES
R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
R," SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO"
S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES 
S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES 
S, SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES 
T,OTROS
