id_depto,nombre_departamento,id_provincia
6014,adolfo gonzales chaves,6
6063,balcarce,6
26007,viedma,26
30015,concordia,30
6070,baradero,6
6084,benito juarez,6
66126,oran,66
6021,alberti,6
6077,arrecifes,6
6028,almirante brown,6
6035,avellaneda,6
6042,ayacucho,6
6049,azul,6
6056,bahia blanca,6
6091,berazategui,6
6098,berisso,6
6105,bolivar,6
6112,bragado,6
2000,caba,2
6007,adolfo alsina,6
6119,brandsen,6
6126,campana,6
6134,cañuelas,6
6140,capitan sarmiento,6
6147,carlos casares,6
6154,carlos tejedor,6
6161,carmen de areco,6
6168,castelli,6
6175,colon,6
6182,coronel de marina leonardo rosales,6
6189,coronel dorrego,6
6196,coronel pringles,6
6203,coronel suarez,6
6210,chacabuco,6
6217,chascomus,6
6224,chivilcoy,6
6231,daireaux,6
6238,dolores,6
6245,ensenada,6
6252,escobar,6
6260,esteban echeverria,6
6266,exaltacion de la cruz,6
6274,florencio varela,6
6277,florentino ameghino,6
6280,general alvarado,6
6287,general alvear,6
6294,general arenales,6
6301,general belgrano,6
6308,general guido,6
6315,general juan madariaga,6
6322,general la madrid,6
6329,general las heras,6
6336,general lavalle,6
6343,general paz,6
6351,general pinto,6
6357,general pueyrredon,6
6364,general rodriguez,6
6371,ciudad libertador san martin,6
6385,general viamonte,6
6392,general villegas,6
6399,guamini,6
6406,hipolito yrigoyen,6
6408,hurlingham,6
6410,ituzaingo,6
6412,jose c. paz,6
6413,junin,6
6420,la costa,6
6427,la matanza,6
6434,lanus,6
6441,la plata,6
6448,laprida,6
6455,las flores,6
6462,leandro n. alem,6
6469,lincoln,6
6476,loberia,6
6483,lobos,6
6490,lomas de zamora,6
6497,lujan,6
6505,magdalena,6
6511,maipu,6
6515,malvinas argentinas,6
6518,mar chiquita,6
6525,marcos paz,6
6532,mercedes,6
6539,merlo,6
6547,monte,6
6553,monte hermoso,6
6560,moreno,6
6568,moron,6
6574,navarro,6
6581,necochea,6
6588,9 de julio,6
6595,olavarria,6
6602,patagones,6
6609,pehuajo,6
6616,pellegrini,6
6630,pila,6
6638,pilar,6
6644,pinamar,6
6648,presidente peron,6
6651,puan,6
6655,punta indio,6
6658,quilmes,6
6665,ramallo,6
6672,rauch,6
6679,rivadavia,6
6686,rojas,6
6693,roque perez,6
6700,saavedra,6
6707,saladillo,6
6714,salto,6
6721,salliquelo,6
6728,san andres de giles,6
6735,san antonio de areco,6
6742,san cayetano,6
6749,san fernando,6
6756,san isidro,6
6760,san miguel,6
6763,san nicolas,6
6770,san pedro,6
6778,san vicente,6
6784,suipacha,6
6791,tandil,6
6798,tapalque,6
