id,id_depto,municipio_id,nombre,funcion,categoria,centroide_lat,centroide_lon
6014030,6014,60014.0,Juan E. Barra,no_tiene,Localidad simple,-37.82338717,-60.48463977
6063030,6063,60063.0,Napaleofú,no_tiene,Localidad simple,-37.62549802,-58.74618624
6063040,6063,60063.0,Ramos Otero,no_tiene,Localidad simple,-37.54263537,-58.34071855
6063050,6063,60063.0,San Agustín,no_tiene,Localidad simple,-38.01228386,-58.35537776
6063060,6063,60063.0,Villa Laguna La Brava,no_tiene,Localidad simple,-37.85962853,-57.98060087
26007010,26007,,Arroyo Verde,no_tiene,Localidad simple,-42.0119887,-65.30645009
6014040,6014,60014.0,Vásquez,no_tiene,Localidad simple,-38.17668614,-60.17084873
30015090,30015,,La Criolla,no_tiene,Localidad simple,-31.26937129,-58.10604254
6070010,6070,60070.0,Baradero,CABECERA_DEPARTAMENTO,Localidad simple,-33.81287815,-59.50430689
6084020,6084,60084.0,Benito Juárez,CABECERA_DEPARTAMENTO,Localidad simple,-37.67664102,-59.80576771
6070020,6070,60070.0,Irineo Portela,no_tiene,Localidad simple,-33.98104892,-59.67156016
66126010,66126,,Aguas Blancas,no_tiene,Localidad simple,-22.72456119,-64.34631922
6021010,6021,60021.0,Alberti,CABECERA_DEPARTAMENTO,Localidad simple,-35.03307343,-60.28061973
6021020,6021,60021.0,Coronel Seguí,no_tiene,Localidad simple,-34.868119,-60.39397088
6070030,6070,60070.0,Santa Coloma,no_tiene,Localidad simple,-34.06215413,-59.55854206
6070040,6070,60070.0,Villa Alsina,no_tiene,Localidad simple,-33.9096038,-59.38820171
6077010,6077,60077.0,Arrecifes,CABECERA_DEPARTAMENTO,Localidad simple,-34.06459112,-60.10255644
6077020,6077,60077.0,Todd,no_tiene,Localidad simple,-34.03282405,-60.15622701
6077030,6077,60077.0,Viña,no_tiene,Localidad simple,-33.99227652,-60.22632112
6084010,6084,60084.0,Barker,no_tiene,Localidad simple,-37.64241113,-59.38893803
6084030,6084,60084.0,López,no_tiene,Localidad simple,-37.55451209,-59.62784615
6084040,6084,60084.0,Tedín Uriburu,no_tiene,Localidad simple,-37.36836863,-59.76303916
6021030,6021,60021.0,Mechita,no_tiene,Componente de localidad compuesta,-35.06801367,-60.40259716
6021040,6021,60021.0,Pla,no_tiene,Localidad simple,-35.12438198,-60.22006126
6021050,6021,60021.0,Villa Grisolía,no_tiene,Localidad simple,-35.10961783,-60.07055132
6021060,6021,60021.0,Villa María,no_tiene,Localidad simple,-34.88812554,-60.34693856
6021070,6021,60021.0,Villa Ortiz,no_tiene,Localidad simple,-34.84353294,-60.30484986
6028010,6028,60028.0,Almirante Brown,CABECERA_DEPARTAMENTO,Componente de localidad compuesta,-34.80028494,-58.39136396
6035010,6035,60035.0,Avellaneda,CABECERA_DEPARTAMENTO,Componente de localidad compuesta,-34.66701977,-58.36098382
6042010,6042,60042.0,Ayacucho,CABECERA_DEPARTAMENTO,Localidad simple,-37.15366957,-58.48954767
6042020,6042,60042.0,La Constancia,no_tiene,Localidad simple,-37.22862561,-58.760389
6042030,6042,60042.0,Solanet,no_tiene,Localidad simple,-36.84449844,-58.50714217
6042040,6042,60042.0,Udaquiola,no_tiene,Localidad simple,-36.56375135,-58.53333442
6049010,6049,60049.0,Ariel,no_tiene,Localidad simple,-36.53125442,-59.92006518
6049020,6049,60049.0,Azul,CABECERA_DEPARTAMENTO,Localidad simple,-36.7795145,-59.85863317
6049030,6049,60049.0,Cacharí,no_tiene,Localidad simple,-36.38056263,-59.50306455
6049040,6049,60049.0,Chillar,no_tiene,Localidad simple,-37.31501132,-59.98531817
6049050,6049,60049.0,16 de Julio,no_tiene,Localidad simple,-37.20205248,-60.16521392
6056010,6056,60056.0,Bahía Blanca,CABECERA_DEPARTAMENTO,Localidad simple,-38.71380524,-62.2659599
6056030,6056,60056.0,General Daniel Cerri,no_tiene,Localidad simple,-38.71365249,-62.39242217
6063010,6063,60063.0,Balcarce,CABECERA_DEPARTAMENTO,Localidad simple,-37.84827793,-58.25516658
6063020,6063,60063.0,Los Pinos,no_tiene,Localidad simple,-37.94120576,-58.32259202
6084050,6084,60084.0,Villa Cacique,no_tiene,Localidad simple,-37.67047789,-59.40035334
6091010,6091,60091.0,Berazategui,CABECERA_DEPARTAMENTO,Componente de localidad compuesta,-34.76334394,-58.20780839
6098010,6098,60098.0,Berisso,CABECERA_DEPARTAMENTO,Componente de localidad compuesta,-34.8764142,-57.88639533
6105010,6105,60105.0,Hale,no_tiene,Localidad simple,-36.00104298,-60.85344951
6105020,6105,60105.0,Juan F. Ibarra,no_tiene,Localidad simple,-36.34987705,-61.25525912
6105040,6105,60105.0,Paula,no_tiene,Localidad simple,-36.50531835,-61.02432872
6105050,6105,60105.0,Pirovano,no_tiene,Localidad simple,-36.51091702,-61.55455166
6105060,6105,60105.0,San Carlos de Bolívar,CABECERA_DEPARTAMENTO,Localidad simple,-36.22956022,-61.11318987
6105070,6105,60105.0,Urdampilleta,no_tiene,Localidad simple,-36.43292924,-61.41911602
6105080,6105,60105.0,Villa Lynch Pueyrredón,no_tiene,Localidad simple,-36.60257933,-61.36186255
6112005,6112,60112.0,Asamblea,no_tiene,Localidad simple,-35.22675813,-60.41689528
6112010,6112,60112.0,Bragado,CABECERA_DEPARTAMENTO,Localidad simple,-35.1189423,-60.48791476
6112020,6112,60112.0,Comodoro Py,no_tiene,Localidad simple,-35.32331004,-60.52173149
6112030,6112,60112.0,General O'Brien,no_tiene,Localidad simple,-34.90679791,-60.75978382
6112040,6112,60112.0,Irala,no_tiene,Localidad simple,-34.77182303,-60.6916912
6112050,6112,60112.0,La Limpia,no_tiene,Localidad simple,-35.07972727,-60.59285467
6112060,6112,60112.0,Juan F. Salaberry,no_tiene,Localidad simple,-35.06152467,-60.70607414
2000010,2000,,Ciudad Autónoma de Buenos Aires,CAPITAL_PAIS,Componente de localidad compuesta,-34.61092523,-58.3887254
6007020,6007,60007.0,Colonia San Miguel Arcángel,no_tiene,Localidad simple,-37.44861865,-63.11760941
6007030,6007,60007.0,Delfín Huergo,no_tiene,Localidad simple,-37.31732926,-63.23316906
6007040,6007,60007.0,Espartillar,no_tiene,Componente de localidad compuesta,-37.35633456,-62.43876378
6007050,6007,60007.0,Esteban Agustín Gascón,no_tiene,Localidad simple,-37.4544378,-63.256595
6007060,6007,60007.0,La Pala,no_tiene,Localidad simple,-36.66134009,-63.36612817
