municipio_id,municipio_nombre
60014.0,adolfo gonzales chaves
60063.0,balcarce
,
60070.0,baradero
60084.0,benito juarez
60021.0,alberti
60077.0,arrecifes
60028.0,almirante brown
60035.0,avellaneda
60042.0,ayacucho
60049.0,azul
60056.0,bahia blanca
60091.0,berazategui
60098.0,berisso
60105.0,bolivar
60112.0,bragado
60007.0,adolfo alsina
60119.0,brandsen
60126.0,campana
60134.0,cañuelas
60140.0,capitan sarmiento
60147.0,carlos casares
60154.0,carlos tejedor
60161.0,carmen de areco
60168.0,castelli
60175.0,colon
60182.0,coronel de marina leonardo rosales
60189.0,coronel dorrego
60196.0,coronel pringles
60203.0,coronel suarez
60210.0,chacabuco
60218.0,chascomus
60466.0,lezama
60224.0,chivilcoy
60231.0,daireaux
60238.0,dolores
60245.0,ensenada
60252.0,escobar
60260.0,esteban echeverria
60266.0,exaltacion de la cruz
60270.0,ezeiza
60274.0,florencio varela
60277.0,florentino ameghino
60280.0,general alvarado
60287.0,general alvear
60294.0,general arenales
60301.0,general belgrano
60308.0,general guido
60315.0,general juan madariaga
60322.0,general la madrid
60329.0,general las heras
60336.0,general lavalle
60343.0,general paz
60351.0,general pinto
60357.0,general pueyrredon
60364.0,general rodriguez
60371.0,general san martin
60385.0,general viamonte
60392.0,general villegas
60399.0,guamini
60406.0,hipolito yrigoyen
60408.0,hurlingham
60410.0,ituzaingo
60412.0,jose c. paz
60413.0,junin
60420.0,la costa
60427.0,la matanza
60434.0,lanus
60441.0,la plata
60448.0,laprida
60462.0,leandro n. alem
60469.0,lincoln
60476.0,loberia
60483.0,lobos
60490.0,lomas de zamora
60497.0,lujan
60505.0,magdalena
60511.0,maipu
60515.0,malvinas argentinas
60518.0,mar chiquita
60525.0,marcos paz
60532.0,mercedes
60539.0,merlo
60547.0,monte
60553.0,monte hermoso
60560.0,moreno
60568.0,moron
60574.0,navarro
60581.0,necochea
60588.0,9 de julio
60595.0,olavarria
60602.0,patagones
60609.0,pehuajo
60616.0,pellegrini
60623.0,pergamino
60630.0,pila
60638.0,pilar
60644.0,pinamar
60648.0,presidente peron
60651.0,puan
60655.0,punta indio
60658.0,quilmes
60665.0,ramallo
60672.0,rauch
60679.0,rivadavia
60686.0,rojas
60693.0,roque perez
60700.0,saavedra
60707.0,saladillo
60714.0,salto
60721.0,salliquelo
60728.0,san andres de giles
60735.0,san antonio de areco
60742.0,san cayetano
60749.0,san fernando
60756.0,san isidro
60760.0,san miguel
60763.0,san nicolas
60770.0,san pedro
60784.0,suipacha
60791.0,tandil
60798.0,tapalque
60805.0,tigre
60812.0,tordillo
60819.0,tornquist
60826.0,trenque lauquen
60833.0,tres arroyos
60840.0,tres de febrero
60847.0,tres lomas
60854.0,25 de mayo
60861.0,vicente lopez
60868.0,villa gesell
60875.0,villarino
100028.0,los varela
100014.0,la puerta
100007.0,el rodeo
100021.0,las juntas
100035.0,ancasti
100049.0,andalgala
100042.0,aconquija
100056.0,antofagasta de la sierra
100119.0,villa vil
100063.0,belen
100091.0,pozo de piedra
100070.0,corral quemado
100098.0,puerta de corral quemado
100077.0,hualfin
100084.0,londres
100105.0,puerta de san jose
100126.0,capayan
100133.0,huillapima
100140.0,san fernando del valle de catamarca
100147.0,el alto
100154.0,tapso
100161.0,fray mamerto esquiu
100175.0,recreo
100168.0,icaño
100182.0,paclin
100185.0,mutquin
100196.0,saujil
100189.0,poman
100203.0,san jose
100210.0,santa maria
100213.0,los altos
100217.0,santa rosa
100231.0,tinogasta
100224.0,fiambala
100238.0,valle viejo
142007.0,amboy
142021.0,cañada del sauce
140049.0,villa general belgrano
140063.0,villa rumipal
140070.0,villa yacanto
140014.0,la cruz
143015.0,la cumbrecita
142028.0,las bajadas
142035.0,las caleras
140021.0,los condores
142042.0,los molinos
142049.0,los reartes
142056.0,lutti
142014.0,calmayo
140028.0,rio de los sauces
140056.0,san agustin
142063.0,san ignacio
140035.0,santa rosa de calamuchita
142070.0,segunda usina
142084.0,villa ciudad parque los reartes
142077.0,villa amancay
140042.0,villa del dique
142091.0,villa quillinzo
140077.0,cordoba
140084.0,agua de oro
140126.0,la granja
140147.0,rio ceballos
142105.0,el manzano
140119.0,la calera
140091.0,colonia caroya
140098.0,colonia tirolesa
142098.0,colonia vicente aguero
140133.0,malvinas argentinas
140175.0,villa allende
142112.0,estacion general paz
140112.0,jesus maria
140168.0,unquillo
140140.0,mendiolaza
142119.0,mi granja
140154.0,saldan
140161.0,salsipuedes
142728.0,tinoco
142126.0,villa cerro azul
140105.0,estacion juarez celman
142133.0,alto de los quebrachos
142140.0,bañado de soto
142147.0,cruz de caña
140182.0,cruz del eje
142154.0,el brete
142161.0,guanaco muerto
140189.0,san marcos sierras
142175.0,la higuera
142189.0,las playas
142819.0,los chañaritos
142203.0,media naranja
140196.0,serrezuela
142217.0,tuclame
140203.0,villa de soto
140210.0,buchardo
140224.0,huinca renanco
140231.0,italo
140245.0,mattaldi
142224.0,nicolas bruzzone
142231.0,onagoity
142238.0,pincen
142245.0,ranqueles
140238.0,jovita
140252.0,villa huidobro
141120.0,villa sarmiento (s. a.)
140259.0,villa valeria
140273.0,arroyo cabral
140280.0,ausonia
140294.0,etruria
140301.0,la laguna
140308.0,la palestina
140315.0,la playosa
140322.0,luca
140329.0,pasco
140336.0,silvio pellico
140343.0,ticino
140350.0,tio pujio
140357.0,villa maria
140364.0,villa nueva
142259.0,avellaneda
142266.0,cañada de rio pinto
142273.0,chuña
140371.0,dean funes
142294.0,olivares de san nicolas
142287.0,los pozos
140378.0,quilino
140385.0,alejandro roca
142308.0,assunta
140392.0,bengolea
140399.0,carnerillo
140406.0,charras
142315.0,el rastreador
140413.0,general cabrera
140420.0,general deheza
140427.0,huanchilla
140434.0,la carlota
140448.0,olaeta
142322.0,pacheco de melo
142329.0,paso del durazno
140462.0,santa eufemia
140469.0,ucacha
140455.0,reduccion
140476.0,alejo ledesma
140483.0,arias
140490.0,camilo aldao
140497.0,capitan general b. o'higgins
140504.0,cavanagh
142336.0,colonia barge
140511.0,colonia italiana
140518.0,corral de bustos
140525.0,cruz alta
140532.0,general baldissera
140539.0,general roca
140546.0,guatimozin
140553.0,inriville
140560.0,isla verde
140567.0,leones
140574.0,los surgentes
140588.0,monte buey
140595.0,saira
142343.0,saladillo
142357.0,cienaga del coro
142364.0,el chacho
142371.0,estancia de guadalupe
142378.0,guasapampa
142385.0,la playa
140602.0,san carlos minas
142392.0,talaini
142399.0,tosno
142406.0,chancani
142434.0,tala cañada
140609.0,salsacate
142427.0,san geronimo
142441.0,villa de pocho
140616.0,general levalle
140623.0,la cesira
140630.0,laboulaye
142448.0,leguizamon
140637.0,melo
142455.0,rio bamba
140644.0,rosales
142462.0,san joaquin
140651.0,serrano
140658.0,villa rossi
140672.0,capilla del monte
140665.0,bialet masse
142469.0,cabalango
142476.0,casa grande
142483.0,charbonier
140679.0,cosquin
142490.0,cuesta blanca
142497.0,estancia vieja
140686.0,huerta grande
140693.0,la cumbre
140700.0,la falda
142511.0,san antonio de arredondo
140707.0,los cocos
140721.0,santa maria de punilla
142504.0,mayu sumaj
140714.0,san esteban
142518.0,san roque
142525.0,tala huasi
140728.0,tanti
140735.0,valle hermoso
140742.0,villa carlos paz
140749.0,villa giardino
142539.0,villa santa cruz del lago
142532.0,villa parque siquiman
142546.0,villa rio icho cruz
140756.0,achiras
140763.0,adelia maria
140770.0,alcira
140777.0,alpa corral
140784.0,berrotaran
140791.0,bulnes
140798.0,chajan
142553.0,chucul
140805.0,coronel baigorria
140812.0,coronel moldes
140819.0,elena
142560.0,"la carolina ""el potosi"""
140833.0,las acequias
142567.0,las albahacas
140840.0,las higueras
142574.0,las peñas sud
140847.0,las vertientes
142581.0,malena
140854.0,monte de los gauchos
140861.0,rio cuarto
140868.0,sampacho
140875.0,san basilio
140882.0,santa catalina
142588.0,suco
140896.0,vicuña mackenna
142595.0,villa el chacay
142602.0,washington
142616.0,cañada de machado
142623.0,capilla de los remedios
142651.0,diego de rojas
142658.0,el crispin
142665.0,esquina
142672.0,kilometro 658
140903.0,la para
142679.0,la posta
140910.0,la puerta
142686.0,la quinta
142700.0,las saladas
142707.0,maquinista gallini
140917.0,monte cristo
140924.0,obispo trejo
140931.0,piquillin
142714.0,plaza de mercedes
142644.0,comechingones
140938.0,rio primero
140945.0,santa rosa de rio primero
140952.0,villa fontana
142735.0,cerro colorado
142749.0,eufrasio loza
142756.0,gutemberg
142770.0,los hoyos
142791.0,santa elena
140959.0,sebastian elcano
142798.0,villa candelaria norte
140966.0,villa de maria
140973.0,calchin
140980.0,calchin oeste
140987.0,capilla del carmen
140994.0,carrilobo
141001.0,colazo
142805.0,colonia videla
141008.0,costasacate
142812.0,impira
141015.0,laguna larga
141022.0,las junturas
141043.0,matorrales
141057.0,pilar
142826.0,rincon
141071.0,rio segundo
141078.0,santiago temple
141085.0,villa del rosario
142840.0,arroyo los patos
142847.0,las calles
142854.0,las rabonas
141106.0,san pedro
141092.0,mina clavero
141099.0,nono
142861.0,panaholma
142868.0,san lorenzo
142875.0,san vicente
142882.0,sauce arriba
142252.0,villa sarmiento (g.r.)
142889.0,conlara
141127.0,la paz
142917.0,los hornillos
142896.0,la poblacion
142924.0,luyaba
142903.0,las tapias
142910.0,los cerrillos
141148.0,villa de las rosas
141134.0,san javier y yacanto
141141.0,san jose
141155.0,villa dolores
141162.0,alicia
141169.0,altos de chipion
141176.0,arroyito
141183.0,balnearia
142945.0,colonia las pichanas
141197.0,colonia marina
141204.0,colonia prosperidad
141211.0,colonia san bartolome
142952.0,colonia san pedro
142959.0,colonia valtelina
141218.0,colonia vignaud
141225.0,devoto
141232.0,el arañado
141239.0,el fortin
