categoria,centroide_lat,centroide_lon,departamento_id,departamento_nombre,fuente,funcion,id,municipio_id,municipio_nombre,nombre,provincia_id,provincia_nombre
Localidad simple,-37.82338717,-60.48463977,6014,Adolfo Gonzales Chaves,INDEC,,6014030,60014,Adolfo Gonzales Chaves,Juan E. Barra,6,Buenos Aires
Localidad simple,-37.62549802,-58.74618624,6063,Balcarce,INDEC,,6063030,60063,Balcarce,Napaleofú,6,Buenos Aires
Localidad simple,-37.54263537,-58.34071855,6063,Balcarce,INDEC,,6063040,60063,Balcarce,Ramos Otero,6,Buenos Aires
Localidad simple,-38.01228386,-58.35537776,6063,Balcarce,INDEC,,6063050,60063,Balcarce,San Agustín,6,Buenos Aires
Localidad simple,-37.85962853,-57.98060087,6063,Balcarce,INDEC,,6063060,60063,Balcarce,Villa Laguna La Brava,6,Buenos Aires
Localidad simple,-42.0119887,-65.30645009,26007,Viedma,INDEC,,26007010,,,Arroyo Verde,26,Chubut
Localidad simple,-38.17668614,-60.17084873,6014,Adolfo Gonzales Chaves,INDEC,,6014040,60014,Adolfo Gonzales Chaves,Vásquez,6,Buenos Aires
Localidad simple,-31.26937129,-58.10604254,30015,Concordia,INDEC,,30015090,,,La Criolla,30,Entre Ríos
Localidad simple,-33.81287815,-59.50430689,6070,Baradero,INDEC,CABECERA_DEPARTAMENTO,6070010,60070,Baradero,Baradero,6,Buenos Aires
Localidad simple,-37.67664102,-59.80576771,6084,Benito Juárez,INDEC,CABECERA_DEPARTAMENTO,6084020,60084,Benito Juárez,Benito Juárez,6,Buenos Aires
Localidad simple,-33.98104892,-59.67156016,6070,Baradero,INDEC,,6070020,60070,Baradero,Irineo Portela,6,Buenos Aires
Localidad simple,-22.72456119,-64.34631922,66126,Orán,INDEC,,66126010,,,Aguas Blancas,66,Salta
Localidad simple,-35.03307343,-60.28061973,6021,Alberti,INDEC,CABECERA_DEPARTAMENTO,6021010,60021,Alberti,Alberti,6,Buenos Aires
Localidad simple,-34.868119,-60.39397088,6021,Alberti,INDEC,,6021020,60021,Alberti,Coronel Seguí,6,Buenos Aires
Localidad simple,-34.06215413,-59.55854206,6070,Baradero,INDEC,,6070030,60070,Baradero,Santa Coloma,6,Buenos Aires
Localidad simple,-33.9096038,-59.38820171,6070,Baradero,INDEC,,6070040,60070,Baradero,Villa Alsina,6,Buenos Aires
Localidad simple,-34.06459112,-60.10255644,6077,Arrecifes,INDEC,CABECERA_DEPARTAMENTO,6077010,60077,Arrecifes,Arrecifes,6,Buenos Aires
Localidad simple,-34.03282405,-60.15622701,6077,Arrecifes,INDEC,,6077020,60077,Arrecifes,Todd,6,Buenos Aires
Localidad simple,-33.99227652,-60.22632112,6077,Arrecifes,INDEC,,6077030,60077,Arrecifes,Viña,6,Buenos Aires
Localidad simple,-37.64241113,-59.38893803,6084,Benito Juárez,INDEC,,6084010,60084,Benito Juárez,Barker,6,Buenos Aires
Localidad simple,-37.55451209,-59.62784615,6084,Benito Juárez,INDEC,,6084030,60084,Benito Juárez,López,6,Buenos Aires
Localidad simple,-37.36836863,-59.76303916,6084,Benito Juárez,INDEC,,6084040,60084,Benito Juárez,Tedín Uriburu,6,Buenos Aires
Componente de localidad compuesta,-35.06801367,-60.40259716,6021,Alberti,INDEC,,6021030,60021,Alberti,Mechita,6,Buenos Aires
Localidad simple,-35.12438198,-60.22006126,6021,Alberti,INDEC,,6021040,60021,Alberti,Pla,6,Buenos Aires
Localidad simple,-35.10961783,-60.07055132,6021,Alberti,INDEC,,6021050,60021,Alberti,Villa Grisolía,6,Buenos Aires
Localidad simple,-34.88812554,-60.34693856,6021,Alberti,INDEC,,6021060,60021,Alberti,Villa María,6,Buenos Aires
Localidad simple,-34.84353294,-60.30484986,6021,Alberti,INDEC,,6021070,60021,Alberti,Villa Ortiz,6,Buenos Aires
Componente de localidad compuesta,-34.80028494,-58.39136396,6028,Almirante Brown,INDEC,CABECERA_DEPARTAMENTO,6028010,60028,Almirante Brown,Almirante Brown,6,Buenos Aires
Componente de localidad compuesta,-34.66701977,-58.36098382,6035,Avellaneda,INDEC,CABECERA_DEPARTAMENTO,6035010,60035,Avellaneda,Avellaneda,6,Buenos Aires
Localidad simple,-37.15366957,-58.48954767,6042,Ayacucho,INDEC,CABECERA_DEPARTAMENTO,6042010,60042,Ayacucho,Ayacucho,6,Buenos Aires
Localidad simple,-37.22862561,-58.760389,6042,Ayacucho,INDEC,,6042020,60042,Ayacucho,La Constancia,6,Buenos Aires
Localidad simple,-36.84449844,-58.50714217,6042,Ayacucho,INDEC,,6042030,60042,Ayacucho,Solanet,6,Buenos Aires
Localidad simple,-36.56375135,-58.53333442,6042,Ayacucho,INDEC,,6042040,60042,Ayacucho,Udaquiola,6,Buenos Aires
Localidad simple,-36.53125442,-59.92006518,6049,Azul,INDEC,,6049010,60049,Azul,Ariel,6,Buenos Aires
Localidad simple,-36.7795145,-59.85863317,6049,Azul,INDEC,CABECERA_DEPARTAMENTO,6049020,60049,Azul,Azul,6,Buenos Aires
Localidad simple,-36.38056263,-59.50306455,6049,Azul,INDEC,,6049030,60049,Azul,Cacharí,6,Buenos Aires
Localidad simple,-37.31501132,-59.98531817,6049,Azul,INDEC,,6049040,60049,Azul,Chillar,6,Buenos Aires
Localidad simple,-37.20205248,-60.16521392,6049,Azul,INDEC,,6049050,60049,Azul,16 de Julio,6,Buenos Aires
Localidad simple,-38.71380524,-62.2659599,6056,Bahía Blanca,INDEC,CABECERA_DEPARTAMENTO,6056010,60056,Bahía Blanca,Bahía Blanca,6,Buenos Aires
Localidad simple,-38.48385721,-61.89260153,6056,Bahía Blanca,INDEC,,6056020,60056,Bahía Blanca,Cabildo,6,Buenos Aires
Localidad simple,-38.71365249,-62.39242217,6056,Bahía Blanca,INDEC,,6056030,60056,Bahía Blanca,General Daniel Cerri,6,Buenos Aires
Localidad simple,-37.84827793,-58.25516658,6063,Balcarce,INDEC,CABECERA_DEPARTAMENTO,6063010,60063,Balcarce,Balcarce,6,Buenos Aires
Localidad simple,-37.94120576,-58.32259202,6063,Balcarce,INDEC,,6063020,60063,Balcarce,Los Pinos,6,Buenos Aires
Localidad simple,-37.67047789,-59.40035334,6084,Benito Juárez,INDEC,,6084050,60084,Benito Juárez,Villa Cacique,6,Buenos Aires
Componente de localidad compuesta,-34.76334394,-58.20780839,6091,Berazategui,INDEC,CABECERA_DEPARTAMENTO,6091010,60091,Berazategui,Berazategui,6,Buenos Aires
Componente de localidad compuesta,-34.8764142,-57.88639533,6098,Berisso,INDEC,CABECERA_DEPARTAMENTO,6098010,60098,Berisso,Berisso,6,Buenos Aires
Localidad simple,-36.00104298,-60.85344951,6105,Bolívar,INDEC,,6105010,60105,Bolívar,Hale,6,Buenos Aires
Localidad simple,-36.34987705,-61.25525912,6105,Bolívar,INDEC,,6105020,60105,Bolívar,Juan F. Ibarra,6,Buenos Aires
Localidad simple,-36.50531835,-61.02432872,6105,Bolívar,INDEC,,6105040,60105,Bolívar,Paula,6,Buenos Aires
Localidad simple,-36.51091702,-61.55455166,6105,Bolívar,INDEC,,6105050,60105,Bolívar,Pirovano,6,Buenos Aires
Localidad simple,-36.22956022,-61.11318987,6105,Bolívar,INDEC,CABECERA_DEPARTAMENTO,6105060,60105,Bolívar,San Carlos de Bolívar,6,Buenos Aires
Localidad simple,-36.43292924,-61.41911602,6105,Bolívar,INDEC,,6105070,60105,Bolívar,Urdampilleta,6,Buenos Aires
Localidad simple,-36.60257933,-61.36186255,6105,Bolívar,INDEC,,6105080,60105,Bolívar,Villa Lynch Pueyrredón,6,Buenos Aires
Localidad simple,-35.22675813,-60.41689528,6112,Bragado,INDEC,,6112005,60112,Bragado,Asamblea,6,Buenos Aires
Localidad simple,-35.1189423,-60.48791476,6112,Bragado,INDEC,CABECERA_DEPARTAMENTO,6112010,60112,Bragado,Bragado,6,Buenos Aires
Localidad simple,-35.32331004,-60.52173149,6112,Bragado,INDEC,,6112020,60112,Bragado,Comodoro Py,6,Buenos Aires
Localidad simple,-34.90679791,-60.75978382,6112,Bragado,INDEC,,6112030,60112,Bragado,General O'Brien,6,Buenos Aires
Localidad simple,-34.77182303,-60.6916912,6112,Bragado,INDEC,,6112040,60112,Bragado,Irala,6,Buenos Aires
Localidad simple,-35.07972727,-60.59285467,6112,Bragado,INDEC,,6112050,60112,Bragado,La Limpia,6,Buenos Aires
Localidad simple,-35.06152467,-60.70607414,6112,Bragado,INDEC,,6112060,60112,Bragado,Juan F. Salaberry,6,Buenos Aires
Componente de localidad compuesta,-34.61092523,-58.3887254,2000,CABA,INDEC,CAPITAL_PAIS,2000010,,,Ciudad Autónoma de Buenos Aires,2,Ciudad Autónoma de Buenos Aires
Localidad simple,-37.1774801,-62.75789626,6007,Adolfo Alsina,INDEC,CABECERA_DEPARTAMENTO,6007010,60007,Adolfo Alsina,Carhué,6,Buenos Aires
Localidad simple,-37.44861865,-63.11760941,6007,Adolfo Alsina,INDEC,,6007020,60007,Adolfo Alsina,Colonia San Miguel Arcángel,6,Buenos Aires
Localidad simple,-37.31732926,-63.23316906,6007,Adolfo Alsina,INDEC,,6007030,60007,Adolfo Alsina,Delfín Huergo,6,Buenos Aires
Componente de localidad compuesta,-37.35633456,-62.43876378,6007,Adolfo Alsina,INDEC,,6007040,60007,Adolfo Alsina,Espartillar,6,Buenos Aires
Localidad simple,-37.4544378,-63.256595,6007,Adolfo Alsina,INDEC,,6007050,60007,Adolfo Alsina,Esteban Agustín Gascón,6,Buenos Aires
Localidad simple,-36.66134009,-63.36612817,6007,Adolfo Alsina,INDEC,,6007060,60007,Adolfo Alsina,La Pala,6,Buenos Aires
Localidad simple,-36.79994681,-63.33851515,6007,Adolfo Alsina,INDEC,,6007070,60007,Adolfo Alsina,Maza,6,Buenos Aires
Localidad simple,-37.15835461,-63.24421949,6007,Adolfo Alsina,INDEC,,6007080,60007,Adolfo Alsina,Rivera,6,Buenos Aires
Localidad simple,-37.46009928,-63.24056586,6007,Adolfo Alsina,INDEC,,6007100,60007,Adolfo Alsina,Villa Margarita,6,Buenos Aires
Localidad simple,-36.98843094,-63.13380889,6007,Adolfo Alsina,INDEC,,6007110,60007,Adolfo Alsina,Yutuyaco,6,Buenos Aires
Localidad simple,-38.03339951,-60.10033417,6014,Adolfo Gonzales Chaves,INDEC,CABECERA_DEPARTAMENTO,6014010,60014,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,6,Buenos Aires
Localidad simple,-37.96350218,-60.41565938,6014,Adolfo Gonzales Chaves,INDEC,,6014020,60014,Adolfo Gonzales Chaves,De La Garma,6,Buenos Aires
Componente de localidad compuesta,-35.06993786,-60.40849379,6112,Bragado,INDEC,,6112070,60112,Bragado,Mechita,6,Buenos Aires
Localidad simple,-35.23752779,-60.61153417,6112,Bragado,INDEC,,6112080,60112,Bragado,Olascoaga,6,Buenos Aires
Localidad simple,-34.90987344,-60.53816816,6112,Bragado,INDEC,,6112090,60112,Bragado,Warnes,6,Buenos Aires
Localidad simple,-35.3615828,-58.15048682,6119,Brandsen,INDEC,,6119010,60119,Brandsen,Altamirano,6,Buenos Aires
Localidad simple,-35.31453705,-58.04844208,6119,Brandsen,INDEC,,6119015,60119,Brandsen,Barrio El Mirador,6,Buenos Aires
Localidad simple,-35.03357778,-58.19353827,6119,Brandsen,INDEC,,6119020,60119,Brandsen,Barrio Las Golondrinas,6,Buenos Aires
Localidad simple,-35.10503899,-58.18350079,6119,Brandsen,INDEC,,6119030,60119,Brandsen,Barrio Los Bosquecitos,6,Buenos Aires
Localidad simple,-35.10303295,-58.27304054,6119,Brandsen,INDEC,,6119040,60119,Brandsen,Barrio Parque Las Acacias,6,Buenos Aires
