"categoria","centroide_lat","centroide_lon","departamento_id","departamento_nombre","fuente","funcion","id","municipio_id","municipio_nombre","nombre","provincia_id","provincia_nombre"
"Localidad simple",-37.8233871716044,-60.484639770555,"06014","Adolfo Gonzales Chaves","INDEC","","06014030","060014","Adolfo Gonzales Chaves","Juan E. Barra","06","Buenos Aires"
"Localidad simple",-37.6254980210026,-58.7461862359423,"06063","Balcarce","INDEC","","06063030","060063","Balcarce","Napaleofú","06","Buenos Aires"
"Localidad simple",-37.5426353712017,-58.3407185507274,"06063","Balcarce","INDEC","","06063040","060063","Balcarce","Ramos Otero","06","Buenos Aires"
"Localidad simple",-38.0122838564587,-58.355377761682,"06063","Balcarce","INDEC","","06063050","060063","Balcarce","San Agustín","06","Buenos Aires"
"Localidad simple",-37.8596285282151,-57.9806008736401,"06063","Balcarce","INDEC","","06063060","060063","Balcarce","Villa Laguna La Brava","06","Buenos Aires"
"Localidad simple",-42.0119886969656,-65.3064500926092,"26007","Biedma","INDEC","","26007010","","","Arroyo Verde","26","Chubut"
"Localidad simple",-38.1766861391835,-60.1708487303777,"06014","Adolfo Gonzales Chaves","INDEC","","06014040","060014","Adolfo Gonzales Chaves","Vásquez","06","Buenos Aires"
"Localidad simple",-31.2693712880357,-58.1060425422369,"30015","Concordia","INDEC","","30015090","","","La Criolla","30","Entre Ríos"
"Localidad simple",-33.8128781547156,-59.5043068852807,"06070","Baradero","INDEC","CABECERA_DEPARTAMENTO","06070010","060070","Baradero","Baradero","06","Buenos Aires"
"Localidad simple",-37.6766410210104,-59.8057677109444,"06084","Benito Juárez","INDEC","CABECERA_DEPARTAMENTO","06084020","060084","Benito Juárez","Benito Juárez","06","Buenos Aires"
"Localidad simple",-33.9810489198561,-59.6715601606315,"06070","Baradero","INDEC","","06070020","060070","Baradero","Irineo Portela","06","Buenos Aires"
"Localidad simple",-22.7245611902241,-64.346319220401,"66126","Orán","INDEC","","66126010","","","Aguas Blancas","66","Salta"
"Localidad simple",-35.0330734347841,-60.2806197287099,"06021","Alberti","INDEC","CABECERA_DEPARTAMENTO","06021010","060021","Alberti","Alberti","06","Buenos Aires"
"Localidad simple",-34.8681189984321,-60.3939708823403,"06021","Alberti","INDEC","","06021020","060021","Alberti","Coronel Seguí","06","Buenos Aires"
